"Fecha.de.la.actividad","Tipo.de.actividad","Tiempo.transcurrido","Distancia","Ritmo.cardiaco.máximo","Esfuerzo.Relativo","Equipamiento.de.la.actividad","Tiempo.en.movimiento","Velocidad.máxima","Velocidad.promedio","Desnivel.positivo","Pendiente.máxima","Pendiente.promedio","Cadencia.máx.","Cadencia.promedio","Ritmo.cardiaco.promedio","Calorías","Tiempo.de.descanso"
2019-03-10,"Bicicleta",2H 57M 44S,82.06,192,78,"Giant TCR Composite 2",2H 39M 55S,72,30.7885356956748,694.665710449219,8.5,-0.0160842221230268,NA,NA,133,1840,17M 49S
2019-03-16,"Bicicleta",5H 1M 57S,134.7,203,172,"Giant TCR Composite 2",4H 37M 49S,76.320002746582,29.0911272421861,1537.09460449219,12.1999998092651,-0.0097994236275553,NA,NA,138,3006,24M 8S
2019-03-17,"Bicicleta",3H 7M 52S,86.12,156,43,"Giant TCR Composite 2",3H 4M 4S,74.520002746582,28.0724375226367,961.165710449219,13.3999996185303,-0.0153260622173547,NA,NA,103,1965,3M 48S
2019-03-24,"Bicicleta",3H 23M 0S,88.27,179,106,"Giant TCR Composite 2",3H 1M 40S,79.560001373291,29.1533944954128,1034.88000488281,13.3999996185303,-0.0150669114664196,NA,NA,136,2002,21M 20S
2019-03-31,"Bicicleta",3H 23M 15S,95.38,182,46,"Giant TCR Composite 2",3H 6M 57S,75.6,30.6113934207007,753.309692382812,7.69999980926514,-0.013943038880825,NA,NA,112,2116,16M 18S
2019-04-14,"Bicicleta",3H 41M 16S,107.4,171,NA,"Giant TCR Composite 2",3H 19M 28S,62.639998626709,32.3061497326203,767.875854492188,14.6999998092651,0.0013965712860226,NA,NA,139,2424,21M 48S
2019-04-15,"Bicicleta",2H 5M 41S,50.7,180,42,"Giant TCR Composite 2",2H 0M 40S,60.839998626709,25.2099447513812,80.586669921875,3.20000004768372,-0.0015779248205944,NA,NA,124,1101,5M 1S
2019-04-16,"Bicicleta",2H 9M 36S,52.3,97,12,"Giant TCR Composite 2",2H 5M 46S,61.560001373291,24.950967399947,81.5999984741211,2.70000004768372,0,NA,NA,85,1129,3M 50S
2019-04-17,"Bicicleta",1H 50M 50S,52.44,94,9,"Giant TCR Composite 2",1H 50M 31S,69.120002746582,28.4699140401146,123,3.90000009536743,0.0001906901306938,NA,NA,78,1142,19S
2019-04-18,"Bicicleta",1H 6M 8S,33.54,122,9,"Giant TCR Composite 2",1H 4M 56S,75.6,30.9917864476386,87.3399963378906,3.90000009536743,-0.0053654946386814,NA,NA,101,722,1M 12S
