"Fecha.de.la.actividad","Tipo.de.actividad","Tiempo.transcurrido","Distancia","Ritmo.cardiaco.máximo","Esfuerzo.Relativo","Equipamiento.de.la.actividad","Tiempo.en.movimiento","Velocidad.máxima","Velocidad.promedio","Desnivel.positivo","Pendiente.máxima","Pendiente.promedio","Cadencia.máx.","Cadencia.promedio","Ritmo.cardiaco.promedio","Vatios.máx.","Vatios.promedio","Calorías"
2019-04-14,"Bicicleta",13276,107.4,170,NA,"Giant TCR Composite 2",11968,62.639998626709,NA,767.875854492188,14.6999998092651,0.0013965712860226,NA,NA,140,NA,NA,2424
2019-04-15,"Bicicleta",7541,50.7,180,42,"Giant TCR Composite 2",7240,60.839998626709,NA,80.586669921875,3.20000004768372,-0.0015779248205944,NA,NA,124,NA,NA,1101
2019-04-16,"Bicicleta",7776,52.3,97,12,"Giant TCR Composite 2",7546,61.560001373291,NA,81.5999984741211,2.70000004768372,0,NA,NA,85,NA,NA,1129
2019-04-17,"Bicicleta",6650,52.44,94,9,"Giant TCR Composite 2",6631,69.120002746582,NA,123,3.90000009536743,0.0001906901306938,NA,NA,78,NA,NA,1142
2019-04-18,"Bicicleta",3968,33.54,122,9,"Giant TCR Composite 2",3896,75.6,NA,87.3399963378906,3.90000009536743,-0.0053654946386814,NA,NA,101,NA,NA,722
2019-04-21,"Bicicleta",12136,97.98,179,64,"Giant TCR Composite 2",10748,86.039998626709,NA,797.900024414062,7.40000009536743,0.0146962916478514,NA,NA,120,NA,NA,2163
2019-04-28,"Bicicleta",14184,114.38,180,60,"Giant TCR Composite 2",13062,67.679997253418,NA,871.190002441406,10.3000001907349,-0.0209813322871923,NA,NA,117,NA,NA,2556
2019-05-01,"Bicicleta",16813,135.35,170,NA,"Giant TCR Composite 2",15586,95.039998626709,NA,1220.03381347656,20.7999992370605,-0.0097522120922803,NA,NA,140,NA,NA,49045048
2019-05-05,"Bicicleta",15235,115.24,170,NA,"Giant TCR Composite 2",13942,120.959994506836,NA,1369.63391113281,12.3999996185303,-0.0115402806550264,NA,NA,140,NA,NA,43871812
2019-05-12,"Bicicleta",14523,120.08,170,NA,"Giant TCR Composite 2",13394,73.439998626709,NA,973.377807617188,13.3999996185303,-0.0109923966228961,NA,NA,140,NA,NA,42147400
